,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
280,80.976.483/0001-01,de 30.000.000 até 100.000.000,de 100 até 500,0,-
281,79.233.672/0001-05,de 300.000.000 até 500.000.000,de 100 até 500,2,-
282,83.418.434/0001-33,de 30.000.000 até 100.000.000,de 100 até 500,0,-
283,79.658.134/0001-54,de 100.000.000 até 300.000.000,de 100 até 500,0,-
284,02.978.520/0001-07,de 10.000.000 até 30.000.000,de 100 até 500,0,-
285,43.683.069/0001-70,de 100.000.000 até 300.000.000,de 100 até 500,0,-
286,81.019.895/0001-08,de 10.000.000 até 30.000.000,de 100 até 500,0,-
287,82.645.938/0001-23,de 10.000.000 até 30.000.000,de 100 até 500,0,-
288,01.506.081/0001-69,de 10.000.000 até 30.000.000,de 100 até 500,286,"14.732.317,45"
289,83.055.632/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,12,"706.449,24"
290,86.403.128/0001-11,de 100.000.000 até 300.000.000,de 100 até 500,27,"52.396.175,03"
291,82.983.404/0001-07,de 4.800.000 até 10.000.000,de 50 até 100,134,"13.268.001,83"
292,83.057.968/0001-81,de 4.800.000 até 10.000.000,de 100 até 500,0,-
293,06.001.539/0001-41,de 10.000.000 até 30.000.000,de 100 até 500,0,-
294,87.175.824/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,21,"60.065,11"
295,80.646.755/0001-05,de 10.000.000 até 30.000.000,de 100 até 500,0,-
296,79.909.982/0001-99,de 4.800.000 até 10.000.000,de 50 até 100,0,-
297,86.375.789/0001-80,de 10.000.000 até 30.000.000,de 100 até 500,41,"16.730.027,46"
298,79.302.519/0001-84,de 4.800.000 até 10.000.000,de 50 até 100,0,-
299,11.032.345/0001-43,de 4.800.000 até 10.000.000,acima de 500,6,"4.333.433,52"
300,03.768.748/0001-27,de 10.000.000 até 30.000.000,de 50 até 100,151,"7.297.580,56"
301,04.544.783/0001-25,de 10.000.000 até 30.000.000,de 50 até 100,45,"1.670.740,69"
302,87.455.432/0001-75,de 0 até 81.000,acima de 500,1413,"6.975.885,19"
303,03.750.888/0001-78,de 30.000.000 até 100.000.000,de 100 até 500,393,"5.530.221,96"
304,17.903.338/0001-56,de 81.000 até 360.000,de 10 até 50,54,"1.805.503,02"
305,90.726.506/0001-75,de 0 até 81.000,de 100 até 500,1200,"217.850.495,06"
306,77.948.750/0001-14,de 30.000.000 até 100.000.000,de 100 até 500,0,-
307,03.265.874/0001-69,de 10.000.000 até 30.000.000,de 50 até 100,481,"4.609.757,78"
308,79.525.242/0001-59,de 100.000.000 até 300.000.000,de 100 até 500,0,-
309,03.260.359/0001-96,de 4.800.000 até 10.000.000,de 50 até 100,0,-
310,08.889.084/0001-78,de 10.000.000 até 30.000.000,de 50 até 100,0,-
311,81.599.359/0001-29,de 100.000.000 até 300.000.000,de 100 até 500,19,"326.577,45"
312,81.864.563/0001-20,de 10.000.000 até 30.000.000,de 100 até 500,11,"2.958.335,36"
313,12.289.084/0001-04,de 4.800.000 até 10.000.000,acima de 500,670,"1.453.057,83"
314,86.375.425/0001-09,de 100.000.000 até 300.000.000,de 100 até 500,0,-
315,85.244.952/0001-03,de 1.500.000 até 4.800.000,de 10 até 50,5,"1.515.999,55"
316,01.603.183/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-
317,95.313.771/0001-45,de 10.000.000 até 30.000.000,de 100 até 500,0,-
318,05.696.101/0001-62,de 100.000.000 até 300.000.000,de 100 até 500,105,"6.407.048,81"
319,10.779.632/0001-59,de 10.000.000 até 30.000.000,de 100 até 500,0,-
320,81.588.071/0001-59,de 1.500.000 até 4.800.000,de 10 até 50,0,-
